iso_code,preferred_source,preferred_recent_date,positive_rate,positive_rate_prev,new_tests_daily7,new_tests_daily7_prev,new_tests_daily7_1k,new_tests_daily7_1k_prev,flag_negative_tests_previous7,flag_increase_tests_previous7,flag_negative_cases_previous7,owid_date,owid_new_cases,owid_new_cases_daily7,owid_total_tests_orig,owid_total_tests_int,owid_new_tests_orig,owid_new_tests_int,owid_tests_daily7,owid_tests_daily7_prev,owid_tests_daily7_1k,owid_tests_daily7_1k_prev,owid_positive_rate,owid_positive_rate_prev,owid_flag_negative_tests,owid_flag_increase_tests,owid_flag_negative_cases,owid_flag_negative_tests_prev7,owid_flag_increase_tests_prev7,owid_flag_negative_cases_prev7,owid_tests_units,owid_test_definition,owid_case_definition,owid_posrate_definition,find_date,find_new_cases,find_new_cases_daily7,find_total_tests,find_total_tests_int,find_new_tests_orig,find_new_tests_int,find_tests_daily7,find_tests_daily7_prev,find_tests_daily7_1k,find_tests_daily7_1k_prev,find_positive_rate,find_positive_rate_prev,find_flag_negative_tests,find_flag_increase_tests,find_flag_negative_cases,find_flag_negative_tests_prev7,find_flag_increase_tests_prev7,find_flag_negative_cases_prev7,find_tests_units,find_test_definition,find_case_definition,find_posrate_definition
AGO,OWID,2022-02-20,0.009,0.0149,1971,1436,0.058,0.042,0,0,0,2022-02-20,21,17.7142857142857,,1411644.66666667,,1747.33333333349,1971,1436,0.058,0.042,0.009,0.0149,0,0,0,0,0,0,tests performed,,,,2022-02-24,3,16.5714285714286,1416784,1416784,3392,1130.66666666674,1233.42857142857,1787.85714285714,0.0375290139179873,0.0543983795672471,0.0134352559647904,0.00886935677187375,0,0,0,0,0,0,Not specified,Not specified,,
ALB,OWID,2022-02-20,0.3162,0.6996,974,691,0.339,0.241,0,0,0,2022-02-20,260,308,1585124,1585124,1610,536.666666666744,974,691,0.339,0.241,0.3162,0.6996,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-24,213,235.142857142857,1734743,1734743,2110,2110,2135.28571428571,2132.71428571429,0.741933882656607,0.741040405043185,0.11012243259517,0.152789872061089,0,0,0,0,0,0,Samples,Not specified,,
AND,OWID,2022-02-17,0.5161,0.4715,124,183,1.603,2.366,0,0,0,2022-02-17,70,64,299794,299794,,123.85714285716,124,183,1.603,2.366,0.5161,0.4715,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-18,67,64.1428571428572,299794,299794,867,216.75,195.116883116882,166.272727272731,2.53398549502445,2.15938606847703,0.328740681576146,0.464812934468473,0,0,0,0,0,0,Not specified,PCR and serology,,
ARE,OWID,2022-02-20,0.0024,0.0031,379921,484684,38.026,48.512,0,0,0,2022-02-20,725,910,134150602,134150602,338195,338195,379921,484684,38.026,48.512,0.0024,0.0031,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-02-24,782,742.285714285714,135967818,135967818,474340,474340,420401.142857143,423573.285714286,42.507698974433,42.828441427127,0.00176566055277816,0.00273455799350627,0,0,0,0,0,0,Samples,Not specified,,
ARG,OWID,2022-02-19,0.156,0.244,36026,40944,0.79,0.898,0,0,0,2022-02-19,7807,13541.7142857143,33827856,33827856,18211,18211,36026,40944,0.79,0.898,0.156,0.244,0,0,0,0,0,0,tests performed,,,Directly from source,2022-02-24,10298,11232.5714285714,34114786,34114786,122191,61095.5,53984.2857142857,59086.2857142857,1.19444830768842,1.30733440380312,0.208071131810844,0.240377269078636,0,0,0,0,0,0,Samples,Not specified,,
ARM,OWID,2022-02-20,0.238,0.343,5202,6452,1.753,2.174,0,0,0,2022-02-20,700,1297.85714285714,2865962,2865962,3192,3192,5202,6452,1.753,2.174,0.238,0.343,0,0,0,0,0,0,tests performed,Unclear,PCR + antigen,7-day cases / tests,2022-02-24,764,906,2879685,2879685,4467,4467,4786.85714285714,5878.42857142857,1.61554409141314,1.9839448435466,0.189268234451474,0.295292716712435,0,0,0,0,0,0,Samples,Not specified,,
ATG,,,,,,,,,,,,2021-07-13,0,0.142857142857143,16700,16700,,,40,40,0.405,0.405,0.0036,0.0071,,0,0,,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2021-03-08,0,11.2857142857143,13613,13613,607,151.75,100.714285714286,152.142857142857,1.02769679300292,1.55247813411079,0.112056737588652,0.145539906103286,0,0,0,0,0,0,Samples,Not specified,,
AUS,FIND,2022-02-24,0.287619852043793,,79830.5714285714,84742.7142857143,3.1306106442577,3.32324369747899,0,0,,2022-02-20,18219,19182,62891271,62891271,65905,65905,81206,90978,3.149,3.528,0.2362,0.2545,0,0,1,0,0,1,tests performed,PCR,PCR,7-day cases / tests,2022-02-24,26670,22960.8571428571,63215179,63215179,89532,89532,79830.5714285714,84742.7142857143,3.1306106442577,3.32324369747899,0.287619852043793,,0,0,0,0,0,,Samples,Not specified,,
AUT,OWID,2022-02-20,0.047,0.053,603080,587191,66.69,64.933,0,0,0,2022-02-20,48357,28347.8571428571,155141203,155141203,368063,368063,603080,587191,66.69,64.933,0.047,0.053,0,0,0,0,0,0,tests performed,PCR + antigen,PCR + antigen,7-day cases / tests,2022-02-23,34409,26815.5714285714,157315892,157315892,847093,847093,565515.705357143,704541.9375,62.7932162288633,78.2302839773484,0.0474179075391663,0.0431970635632217,0,0,0,0,0,0,Samples,PCR and rapid test,,
AZE,OWID,2022-02-20,0.3562,0.389,11722,17082,1.147,1.671,0,0,0,2022-02-20,2685,4175,,6480531,,10509,11722,17082,1.147,1.671,0.3562,0.389,0,0,0,0,0,0,tests performed,PCR,PCR,7-day cases / tests,2022-02-24,1755,2476.57142857143,6522155,6522155,10291,10291,10727.5714285714,15924.1428571429,1.05805024445916,1.57058317951897,0.230860399770951,0.344714674034934,0,0,0,0,0,0,Not specified,Not specified,,
